CMx,CMx_ci,CMy,CMy_ci,CMz,CMz_ci,beta
0.19139395223068215,0.020660548257986737,0.04635925124831761,0.02458914396577294,-0.16570556732591984,0.02001904794341625,-19.931092202491488
0.13112148005824836,0.02477888017124643,0.07507540656791196,0.029031394753485318,-0.15234848643781337,0.02246837946080922,-13.9448610764287
0.11179058734862576,0.028152621008716936,0.10934162532642601,0.03224172078079549,-0.1179678843534841,0.024820647792327007,-11.934631540461675
0.11531456196539,0.023073048856768905,0.15352458540295805,0.02598550614519684,-0.0794540999758722,0.020126716217010725,-9.937752899758983
0.10332448211528855,0.02570736332325432,0.14350474923025622,0.025170428337176275,-0.030942207957241293,0.022351924251759307,-7.939544592444897
0.0476484703171734,0.031019788477203405,0.10968273765994935,0.030665257223672082,-0.042831557685429233,0.02660282607625325,-5.959076532049314
0.006048739865838589,0.030929726608882758,0.11277459280522933,0.029853526177392113,-0.07564823608951483,0.026138180545976355,-3.983613081269504
-0.02380954586880229,0.04057904158911509,0.10369598228164098,0.030096093368253397,-0.06540593610301834,0.032041476605090824,-2.0003877031451505
-0.03128243402786351,0.026656226867351543,0.05637255414458843,0.030839598567949735,0.017899126335017713,0.022990389749415155,-0.005677527694416953
-0.050929919163423425,0.030063547698549485,0.09096601125331233,0.03334461374771776,0.0588874441105652,0.025011695247421906,1.983759265175912
-0.07966725282933472,0.02956566758441082,0.06714200632105834,0.033231147102717386,0.05454474133043821,0.024225124100846818,3.964116635516295
-0.11467040909156663,0.028188043309416707,0.09578657809148622,0.030089804902731117,0.05506037754031936,0.023146016009967133,5.946177932302977
-0.1717419738907799,0.02742950542216904,0.12640269707286256,0.02954141980508132,0.04072946849358939,0.02250370592372319,7.926792034661297
-0.1804501148898673,0.029396134553467415,0.09383420526911722,0.027559707401687724,0.09259512127612186,0.026713288298543802,9.933541368131312
-0.16188992286126103,0.02846886245138904,0.07962498598816604,0.031199031331547077,0.15843573677024575,0.026317828949539337,11.944130370381222
-0.1918580034165661,0.026373614401007092,0.04085462596043212,0.028003499264573795,0.1327281870661445,0.02374577621789582,13.931701086125344
-0.21493670727190112,0.01916491353737651,-0.03077480529467217,0.024867010002142843,0.14483232447097588,0.01910184522502699,19.924265048812558
