aoa,CL,CD,CL/CD,CS
-12.65,-0.9033709348307295,0.09970185379147847,-9.060723552042326,4.560059133673488e-16
-7.15,-0.44263955530455834,0.0587249663090279,-7.537502073228274,2.4276313855894164e-16
-3.0,-0.09072027501208196,0.04578889022194853,-1.9812726312505373,-3.782881156121382e-18
-2.25,-0.027923855645750225,0.04505393210117574,-0.6197873158560897,-9.847506915873088e-18
2.35,0.33976455238544995,0.04935357322386326,6.884294898857865,-3.946877022236272e-16
4.75,0.5201650678597656,0.05766855013887289,9.01990888633657,-4.302138904724193e-16
6.75,0.6638469354007037,0.06756195393837162,9.825750984144845,3.4271761336917657e-16
8.8,0.8039430980714218,0.08022081516887185,10.021627134791029,5.594471325457457e-17
10.95,0.9419250108611561,0.0958759501475009,9.82441383279171,-6.625283005215155e-17
11.95,1.0025697150879116,0.10386002856836829,9.653085300548966,-3.399224229677172e-17
12.8,1.0521583891474804,0.1109394219540216,9.48408032614,7.185684593019935e-17
14.0,1.1188098619531228,0.12131117336332228,9.222644797955507,7.082058022039002e-17
15.75,1.207991520485712,0.13697761458572963,8.818897336905156,5.302135314690193e-16
17.85,1.2994864003269295,0.15595368873408227,8.332514677114775,1.0932739589239685e-15
19.75,1.0052841391403153,0.16295446217249027,6.169110840770986,-1.6837954276888646e-16
22.55,0.5690656605806598,0.13765863891289318,4.133889925649706,-4.0588891644215816e-16
24.0,0.6003573853307753,0.15439474968621505,3.888457260048769,4.2583703135598783e-16
